,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Ward/Branch.1,Routes Completed,Doors in Route,Time Spent,Did you complete more than 1 route?
413,Bearspaw Chapel,Gateway Stake,2,0,16,20,Blackmud Creek Ward,1,67,30,No
414,Gateway Stake Centre,Gateway Stake,38,2,29,45,Silver Berry Ward,2,339,45,No
415,Gateway Stake Centre,Gateway Stake,2,2,17,37,Silver Berry Ward,2,197,37,No
416,Bearspaw Chapel,Gateway Stake,2,0,20,60,Blackmud Creek Ward,1,123,-660,No
417,Bearspaw Chapel,Gateway Stake,78,3,49,60,Blackmud Creek Ward,2,241,89,No
418,Bearspaw Chapel,Gateway Stake,2,0,21,40,Blackmud Creek Ward,1,109,40,No
419,Bearspaw Chapel,Gateway Stake,2,2,25,10,Blackmud Creek Ward,1,190,50,No
420,Bearspaw Chapel,Gateway Stake,3,4,40,35,Blackmud Creek Ward,1,155,180,No
421,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,5,20,20,Stony Plain Ward,1,115,150,No
422,Riverbend Stake Centre,Riverbend Stake,2,10,29,40,Greenfield Ward,3,200,40,No
423,Riverbend Stake Centre,Riverbend Stake,2,4,29,40,Terwillegar Park Ward,3,174,40,No
424,Riverbend Stake Centre,Riverbend Stake,2,4,39,80,Terwillegar Park Ward,3,262,80,No
425,Bearspaw Chapel,Gateway Stake,2,2,25,75,Blackmud Creek Ward,1,202,75,No
426,Bearspaw Chapel,Bonnie Doon Stake,4,5,34,55,Southgate Ward,1,157,55,No
427,Bearspaw Chapel,Gateway Stake,2,0,28,70,Lee Ridge Ward,1,142,60,No
428,Gateway Stake Centre,Gateway Stake,2,0,150,150,Crawford Plains Ward,6,0,150,No
429,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,0,16,30,Stony Plain Ward,1,0,30,No
430,Bearspaw Chapel,Bonnie Doon Stake,4,0,14,45,Southgate Ward,1,13,45,No
431,Bearspaw Chapel,Gateway Stake,2,0,22,60,Blackmud Creek Ward,1,0,-630,No
432,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,29,60,Stony Plain Ward,3,240,120,No
433,Bearspaw Chapel,Bonnie Doon Stake,1,4,30,30,Southgate Ward,1,130,30,No
434,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,140,30,Stony Plain Ward,2,130,60,No
435,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,3,52,72,Pioneer Ward,3,254,71,No
436,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,9,10,Strathcona Married Student Ward,1,40,36,No
437,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,24,20,Forest Heights Ward,2,120,43,No
438,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,16,30,Forest Heights Ward,1,130,41,No
439,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,14,30,Forest Heights Ward,1,110,51,No
440,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,6,10,Forest Heights Ward,1,60,45,No
441,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,12,20,Strathcona Married Student Ward,1,66,41,No
442,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,7,25,Connors Hill Ward,1,100,35,No
443,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,28,90,Connors Hill Ward,1,65,65,No
444,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,36,45,Forest Heights Ward,2,150,63,Yes
445,Coronation Park Chapel,North Edmonton,1,3,55,195,Belmead,1,279,-32.88349515,No
